	State	Latitude	Longitude	City	inpatient_beds_used_covid	total_camas_UCI_COVID
0	AL	32.6010112	-86.6807365	Alabama	954615.0	219834.0
1	AK	61.3025006	-158.7750198	Alaska	62625.0	11378.0
2	AZ	34.1682185	-111.930907	Arizona	1413791.0	239550.0
3	AR	34.7519275	-92.1313784	Arkansas	534081.0	141591.0
4	CA	37.2718745	-119.2704153	California	4942486.0	907573.0
5	CO	38.9979339	-105.550567	Colorado	575692.0	149238.0
6	CT	41.5187835	-72.757507	Connecticut	466632.0	59892.0
7	DE	39.145251	-75.4189206	Delaware	182151.0	17084.0
8	DC	38.8993487	-77.0145666	District of Columbia	179487.0	21983.0
9	FL	27.9757279	-83.8330166	Florida	4173215.0	697052.0
10	GA	32.6781248	-83.2229757	Georgia	2064647.0	376670.0
11	HI	20.46	-157.505	Hawaii	104128.0	15585.0
12	ID	45.4945756	-114.1424303	Idaho	197064.0	47772.0
13	IL	39.739318	-89.504139	Illinois	1853219.0	311091.0
14	IN	39.7662195	-86.441277	Indiana	1112049.0	229404.0
15	IA	41.9383166	-93.389798	Iowa	343985.0	64514.0
16	KS	38.4987789	-98.3200779	Kansas	380779.0	83699.0
17	KY	37.8222935	-85.7682399	Kentucky	792570.0	162459.0
18	LA	30.9733766	-91.4299097	Louisiana	669210.0	167749.0
19	ME	45.2185133	-69.0148656	Maine	129373.0	31901.0
20	MD	38.8063524	-77.2684162	Maryland	919124.0	128761.0
21	MA	42.0629398	-71.718067	Massachusetts	769353.0	108015.0
22	MI	44.9435598	-86.4158049	Michigan	1510128.0	273234.0
23	MN	46.4418595	-93.3655146	Minnesota	611359.0	103258.0
24	MS	32.5851062	-89.8772196	Mississippi	554633.0	114299.0
25	MO	38.3046615	-92.437099	Missouri	1148150.0	249298.0
26	MT	46.6797995	-110.044783	Montana	132971.0	27444.0
27	NE	41.5008195	-99.680902	Nebraska	264526.0	58374.0
28	NV	38.502032	-117.0230604	Nevada	660985.0	126267.0
29	NH	44.0012306	-71.5799231	New Hampshire	115125.0	19621.0
30	NJ	40.1430058	-74.7311156	New Jersey	1337513.0	171390.0
31	NM	34.1662325	-106.0260685	New Mexico	276146.0	66044.0
32	NY	40.7056258	-73.97968	New York	3445168.0	401628.0
33	NC	35.2145629	-79.8912675	North Carolina	1444036.0	284589.0
34	ND	47.4678819	-100.3022655	North Dakota	122415.0	20772.0
35	OH	40.1903624	-82.6692525	Ohio	1875672.0	357122.0
36	OK	35.3097654	-98.7165585	Oklahoma	640772.0	154169.0
37	OR	44.1419049	-120.5380993	Oregon	374901.0	59527.0
38	PA	40.9945928	-77.6046984	Pennsylvania	2140596.0	340678.0
39	RI	41.5827282	-71.5064508	Rhode Island	145688.0	14806.0
40	SC	33.62505	-80.9470381	South Carolina	736096.0	147130.0
41	SD	44.2126995	-100.2471641	South Dakota	127637.0	25701.0
42	TN	35.830521	-85.9785989	Tennessee	1119490.0	266339.0
43	TX	31.1693363	-100.0768425	Texas	5005907.0	1149364.0
44	UT	39.4997605	-111.547028	Utah	275249.0	78998.0
45	VT	43.8717545	-72.4477828	Vermont	27175.0	5527.0
46	VA	38.0033855	-79.4587861	Virginia	1030128.0	177276.0
47	WA	38.8993487	-77.0145665	Washington	713622.0	119301.0
48	WV	38.9201705	-80.1816905	West Virginia	349874.0	80796.0
49	WI	44.7862968	-89.8267049	Wisconsin	681033.0	142980.0
50	WY	43.000325	-107.5545669	Wyoming	63791.0	13476.0
